,ID,Number,LargestIntensity,Origin Time,Location,Latitude,longtitude,Depth,Magnitude,Link
0,20220118030635,005,3,2022-01-18 03:06:35,17.6 km WSW of Hualien County Hall,23.92, 121.46,18.3,4.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111005-0118-030635.html
1,20220116172329.0,Local,1.0,2022-01-16 17:23:29,10.1 km WNW of Yilan County Hall,24.77,121.67,75.3,4.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111000-0116-172329.html
2,20220116161541.0,004,3.0,2022-01-16 16:15:41,66.5 km ENE of Hualien County Hall,24.18,122.24,55.4,5.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111004-0116-161541.html
3,20220112084323.0,Local,2.0,2022-01-12 08:43:23,56.1 km ESE of Yilan County Hall,24.48,122.25,63.6,4.8,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111000-0112-084323.html
4,20220109081433.0,Local,2.0,2022-01-09 08:14:33,14.9 km S of Taoyuan City Hall,24.86,121.32,7.9,3.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111000-0109-081433.html
5,20220108051220.0,003,4.0,2022-01-08 05:12:20,17.7 km ENE of Taichung City Hall,24.21,120.84,32.9,4.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111003-0108-051220.html
6,20220107110208.0,Local,1.0,2022-01-07 11:02:08,19.6 km S of Yilan County Hall,24.56,121.79,66.3,3.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111000-0107-110208.html
7,20220106164530.0,Local,2.0,2022-01-06 16:45:30,101.8 km SSW of Hualien County Hall,23.12,121.31,13.0,3.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111000-0106-164530.html
8,20220105215403.0,002,4.0,2022-01-05 21:54:03,39.1 km E of Chiayi County Hall,23.43,120.67,11.4,4.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111002-0105-215403.html
9,20220105211137.0,Local,2.0,2022-01-05 21:11:37,79.1 km E of Hualien County Hall,24.02,122.4,20.6,5.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111000-0105-211137.html
10,20220104071729.0,Local,2.0,2022-01-04 07:17:29,52.1 km E of Hualien County Hall,24.07,122.13,18.0,5.1,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111000-0104-071729.html
11,20220103174637.0,001,4.0,2022-01-03 17:46:37,56.7 km E of Hualien County Hall,24.02,122.18,19.4,6.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ111001-0103-174637.html
12,20211231160114.0,Local,2.0,2021-12-31 16:01:14,11.5 km N of Hualien County Hall,24.09,121.61,9.3,3.8,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1231-160114.html
13,20211230144709.0,113,3.0,2021-12-30 14:47:09,92.0 km E of Hualien County Hall,23.93,122.52,27.1,5.4,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110113-1230-144709.html
14,20211230144539.0,Local,3.0,2021-12-30 14:45:39,30.7 km NE of Taitung County Hall,22.96,121.35,22.6,3.9,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1230-144539.html
15,20211229055424.0,Local,3.0,2021-12-29 05:54:24,36.5 km S of Yilan County Hall,24.4,121.8,11.4,3.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1229-055424.html
16,20211228151842.0,Local,2.0,2021-12-28 15:18:42,24.9 km SW of Hualien County Hall,23.84,121.44,17.7,3.2,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1228-151842.html
17,20211223115007.0,Local,2.0,2021-12-23 11:50:07,72.6 km NNE of Taitung County Hall,23.33,121.48,29.9,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1223-115007.html
18,20211223074019.0,Local,2.0,2021-12-23 07:40:19,53.4 km NNE of Taitung County Hall,23.19,121.38,18.5,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1223-074019.html
19,20211222233515.0,Local,2.0,2021-12-22 23:35:15,21.2 km WSW of Hualien County Hall,23.88,121.45,18.8,3.3,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1222-233515.html
20,20211222190842.0,Local,2.0,2021-12-22 19:08:42,10.8 km SE of Hualien County Hall,23.91,121.68,19.4,3.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1222-190842.html
21,20211222090748.0,Local,2.0,2021-12-22 09:07:48,20.1 km WSW of Hualien County Hall,23.9,121.45,19.4,3.7,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1222-090748.html
22,20211221185930.0,112,4.0,2021-12-21 18:59:30,36.4 km ENE of Tainan City Hall,23.11,120.51,9.4,4.6,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110112-1221-185930.html
23,20211219040249.0,111,3.0,2021-12-19 04:02:49,32.2 km NE of Taitung County Hall,22.97,121.36,22.1,4.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110111-1219-040249.html
24,20211216093810.0,Local,3.0,2021-12-16 09:38:10,13.6 km WNW of Hualien County Hall,24.06,121.51,17.7,3.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1216-093810.html
25,20211216024111.0,Local,2.0,2021-12-16 02:41:11,23.0 km SW of Hualien County Hall,23.86,121.44,17.4,3.5,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1216-024111.html
26,20211212141614.0,Local,1.0,2021-12-12 14:16:14,50.2 km ENE of Hualien County Hall,24.18,122.07,28.4,4.0,https://www.cwb.gov.tw/V8/E/E/EQ/EQ110000-1212-141614.html
