,name,size,status
0,20210804215101_5053_Z.mseed,14336,1
1,20210804215101_5040_Z.mseed,10496,1
2,20210804215101_5040_E.mseed,10752,1
3,20210804215052_4404_Z.mseed,12544,1
4,20210804215102_5067_N.mseed,51968,1
5,20210804215102_5067_E.mseed,52224,1
6,20210804215057_4650_Z.mseed,11264,1
7,20210804215057_4650_N.mseed,12800,1
8,20210804215101_5018_N.mseed,9984,1
9,20210804215102_5067_Z.mseed,49664,1
10,20210804215101_5021_Z.mseed,10752,1
11,20210804215101_5080_Z.mseed,10496,1
12,20210804215101_5018_Z.mseed,9984,1
13,20210804215101_5053_N.mseed,16640,1
14,20210804215102_4441_Z.mseed,10240,1
15,20210804215101_5080_E.mseed,10496,1
16,20210804215101_5040_N.mseed,10496,1
17,20210804215058_4397_Z.mseed,15872,1
18,20210804215101_5021_E.mseed,10496,1
19,20210804215101_5018_E.mseed,9984,1
20,20210804215052_4404_N.mseed,12800,1
21,20210804215052_4406_E.mseed,13824,1
22,20210804215101_5021_N.mseed,10496,1
23,20210804215058_4397_E.mseed,15104,1
24,20210804215058_4397_N.mseed,15104,1
25,20210804215052_4406_Z.mseed,12800,1
26,20210804215057_4650_E.mseed,12544,1
27,20210804215052_4406_N.mseed,14080,1
28,20210804215101_5080_N.mseed,10496,1
29,20210804215101_5053_E.mseed,16128,1
30,20210804215102_4441_N.mseed,11008,1
31,20210804215052_4404_E.mseed,12800,1
32,20210804215102_4441_E.mseed,10752,1
