,ID,Number,LargestIntensity,Origin Time,Location,Latitude,longtitude,Depth,Magnitude,Link
0,20220119031012,000,2,2022-01-19 03:10:12,臺東縣政府南南東方  144.7  公里 (位於臺灣東南部海域),21.63,121.87,164.4,5.3,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022011903101253
1,20220118030635,005,3,2022-01-18 03:06:35,花蓮縣政府西南西方  17.6  公里 (位於花蓮縣秀林鄉),23.92,121.46,18.3,4.0,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022011803063540005
2,20220116172329,000,1,2022-01-16 17:23:29,宜蘭縣政府西北西方  10.1  公里 (位於宜蘭縣員山鄉),24.77,121.67,75.3,4.0,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022011617232940
3,20220116161541,004,3,2022-01-16 16:15:41,花蓮縣政府東北東方  66.5  公里 (位於臺灣東部海域),24.18,122.24,55.4,5.5,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022011616154155004
4,20220112084323,000,2,2022-01-12 08:43:23,宜蘭縣政府東南東方  56.1  公里 (位於臺灣東部海域),24.48,122.25,63.6,4.8,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022011208432348
5,20220109081433,000,2,2022-01-09 08:14:33,桃園市政府南方  14.9  公里 (位於桃園市大溪區),24.86,121.32,7.9,3.2,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022010908143332
6,20220108051220,003,4,2022-01-08 05:12:20,臺中市政府東北東方  17.7  公里 (位於臺中市東勢區),24.21,120.84,32.9,4.5,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022010805122045003
7,20220107110208,000,1,2022-01-07 11:02:08,宜蘭縣政府南方  19.6  公里 (位於宜蘭縣南澳鄉),24.56,121.79,66.3,3.9,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022010711020839
8,20220106164530,000,2,2022-01-06 16:45:30,花蓮縣政府南南西方  101.8  公里 (位於花蓮縣富里鄉),23.12,121.31,13.0,3.7,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022010616453037
9,20220105215403,002,4,2022-01-05 21:54:03,嘉義縣政府東方  39.1  公里 (位於嘉義縣阿里山鄉),23.43,120.67,11.4,4.0,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022010521540340002
10,20220105211137,000,2,2022-01-05 21:11:37,花蓮縣政府東方  79.1  公里 (位於臺灣東部海域),24.02,122.4,20.6,5.0,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022010521113750
11,20220104071729,000,2,2022-01-04 07:17:29,花蓮縣政府東方  52.1  公里 (位於臺灣東部海域),24.07,122.13,18.0,5.1,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022010407172951
12,20220103174637,001,4,2022-01-03 17:46:37,花蓮縣政府東方  56.7  公里 (位於臺灣東部海域),24.02,122.18,19.4,6.0,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2022010317463760001
13,20211231160114,000,2,2021-12-31 16:01:14,花蓮縣政府北方  11.5  公里 (位於花蓮縣新城鄉),24.09,121.61,9.3,3.8,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2021123116011438
14,20211230144709,113,3,2021-12-30 14:47:09,花蓮縣政府東方  92.0  公里 (位於臺灣東部海域),23.93,122.52,27.1,5.4,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2021123014470954113
15,20211230144539,000,3,2021-12-30 14:45:39,臺東縣政府東北方  30.7  公里 (位於臺東縣近海),22.96,121.35,22.6,3.9,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2021123014453939
16,20211229055424,000,3,2021-12-29 05:54:24,宜蘭縣政府南方  36.5  公里 (位於宜蘭縣近海),24.4,121.8,11.4,3.3,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2021122905542433
17,20211228151842,000,2,2021-12-28 15:18:42,花蓮縣政府西南方  24.9  公里 (位於花蓮縣秀林鄉),23.84,121.44,17.7,3.2,https://scweb.cwb.gov.tw//zh-tw/earthquake/details/2021122815184232
